order_item_id,order_id,product_id,quantity,price
1,536,258,2,37968
2,228,199,3,34213
3,1615,215,5,36148
4,496,69,3,38506
5,528,150,3,63822
6,1483,79,1,38406
7,1481,11,2,13430
8,780,231,3,35645
9,706,125,2,10999
10,1945,294,5,15289
11,1698,78,3,62906
12,253,286,5,14521
13,66,133,3,66139
14,627,214,5,1561
15,1636,101,2,6154
16,657,61,5,13560
17,561,182,1,36481
18,722,32,5,33883
19,900,47,5,43320
20,371,191,1,58529
21,1647,262,3,29602
22,1775,159,5,7372
23,133,130,5,74149
24,139,300,3,2841
25,281,177,5,41201
26,517,263,5,55506
27,703,216,1,8336
28,829,197,3,24426
29,1775,110,1,56565
30,1111,200,2,23490
31,351,205,5,73578
32,1486,285,4,78454
33,1873,280,4,19003
34,1551,245,4,57781
35,1693,255,3,42977
36,931,146,2,57810
37,1499,193,3,66327
38,1466,167,5,32983
39,1133,75,2,73656
40,149,276,2,22839
41,1296,104,5,41994
42,1880,65,4,43524
43,1335,110,2,56565
44,1496,41,2,52474
45,1393,182,3,36481
46,1648,220,1,16960
47,1291,9,5,18294
48,1500,220,2,16960
49,1365,44,1,25630
50,242,294,1,15289
51,862,268,5,19423
52,1612,226,2,55443
53,420,168,1,38032
54,730,36,3,59058
55,919,259,2,72994
56,1089,111,5,52888
57,938,31,3,56011
58,1704,140,2,46637
59,726,113,4,68082
60,1458,42,2,32068
61,1218,285,3,78454
62,1335,200,1,23490
63,1028,9,2,18294
64,1565,98,3,23508
65,643,80,3,51136
66,883,188,5,60932
67,315,275,2,59305
68,1797,233,2,22803
69,443,256,3,57429
70,897,143,5,39356
71,1227,47,2,43320
72,1405,249,1,3513
73,405,134,5,61314
74,1633,6,3,65480
75,568,200,2,23490
76,1994,87,1,52776
77,318,116,1,9864
78,508,32,5,33883
79,1327,174,1,20729
80,917,97,3,15647
81,483,60,4,22191
82,1156,82,1,4126
83,1172,104,4,41994
84,950,245,2,57781
85,750,10,5,51332
86,890,192,5,35481
87,1089,210,3,2636
88,659,253,5,35313
89,1616,65,1,43524
90,1977,152,3,7522
91,205,54,3,62209
92,1458,287,4,49394
93,1395,89,4,23578
94,1399,130,2,74149
95,679,60,1,22191
96,1094,189,4,9944
97,824,107,1,5208
98,1075,65,3,43524
99,838,54,5,62209
100,1630,269,4,69110
101,705,270,4,71934
102,1343,251,4,71585
103,1881,123,2,15639
104,336,18,4,4812
105,640,144,3,43611
106,1563,269,1,69110
107,1199,201,3,21732
108,422,299,4,38762
109,133,166,1,32826
110,1697,217,4,28444
111,1191,3,3,43499
112,729,268,4,19423
113,1902,236,5,48023
114,1829,11,1,13430
115,1662,262,5,29602
116,1860,52,3,46290
117,987,77,2,23855
118,1541,109,2,12374
119,253,65,5,43524
120,866,56,4,73739
121,1362,259,3,72994
122,1637,236,2,48023
123,972,201,5,21732
124,1257,21,5,38420
125,184,84,5,57382
126,1444,193,4,66327
127,360,30,2,50548
128,1201,111,4,52888
129,1863,134,2,61314
130,1680,259,5,72994
131,1841,87,1,52776
132,687,256,2,57429
133,983,298,5,52617
134,227,201,1,21732
135,599,64,4,21839
136,242,38,4,22586
137,829,280,3,19003
138,1929,287,3,49394
139,249,10,1,51332
140,1800,243,2,13095
141,306,75,5,73656
142,410,24,4,25662
143,1043,256,2,57429
144,295,176,2,57855
145,1014,253,4,35313
146,1040,297,5,34940
147,1757,201,1,21732
148,17,200,3,23490
149,1453,280,1,19003
150,1530,181,2,49865
151,1914,113,5,68082
152,746,220,1,16960
153,1185,160,1,24925
154,146,179,4,47267
155,1862,148,4,1156
156,452,1,1,16160
157,527,130,3,74149
158,1388,114,4,51081
159,1234,97,5,15647
160,632,175,5,68600
161,273,297,1,34940
162,1286,222,2,7679
163,1406,55,4,23449
164,1216,2,1,23346
165,995,277,3,14294
166,847,101,2,6154
167,756,55,3,23449
168,1249,227,4,6511
169,1949,149,2,6030
170,1765,25,2,56434
171,938,276,2,22839
172,1662,216,4,8336
173,1662,144,1,43611
174,408,179,4,47267
175,514,156,3,30812
176,1303,149,2,6030
177,619,262,5,29602
178,457,4,5,6224
179,1567,79,5,38406
180,1991,192,1,35481
181,1306,286,5,14521
182,1218,249,1,3513
183,726,142,3,31857
184,541,48,1,7071
185,1053,51,4,22032
186,463,106,2,50323
187,1024,86,2,76283
188,644,82,2,4126
189,1390,215,2,36148
190,1151,293,5,21663
191,1832,62,5,40166
192,1129,132,5,72742
193,856,77,5,23855
194,505,85,5,6764
195,524,166,4,32826
196,964,246,3,28052
197,778,185,5,25232
198,1673,277,4,14294
199,645,185,1,25232
200,1751,69,4,38506
201,1873,240,5,42131
202,1260,182,3,36481
203,463,274,5,64036
204,963,8,4,22298
205,1018,79,4,38406
206,1130,178,5,38787
207,1257,285,4,78454
208,1142,112,4,32151
209,915,59,2,47710
210,1863,175,3,68600
211,1749,43,2,7488
212,23,50,4,21174
213,1089,171,2,53367
214,1146,132,1,72742
215,1540,79,3,38406
216,1895,201,2,21732
217,1663,172,3,18332
218,1896,33,1,37525
219,1578,284,3,8456
220,1111,287,3,49394
221,661,27,1,68979
222,237,226,3,55443
223,599,81,1,72735
224,100,82,1,4126
225,763,77,3,23855
226,404,43,5,7488
227,792,34,3,67022
228,1253,167,4,32983
229,1225,35,5,45264
230,1601,288,3,66172
231,1428,33,4,37525
232,1919,88,2,48286
233,1253,274,3,64036
